SK_ID_CURR,predicted_income
307579,153443
221838,92464
194532,167960
216272,255494
325581,107776
177552,107882
248378,208391
107305,88076
147580,232507
96500,186212
60716,117191
210737,118148
308584,175411
274630,120726
116346,161568
187958,87808
339426,190620
20095,178027
140638,162469
306689,151660
183352,127309
15,86986
14292,139095
270374,105148
90502,167797
106642,157228
76184,136254
140296,95146
245352,124841
219816,175823
294406,122568
39388,178135
140225,299690
184279,240016
245114,116506
36945,198005
307993,156302
210119,159061
309275,206008
26184,151048
342076,129507
81459,121547
321395,101536
164553,144641
309046,199229
331945,148604
66573,198249
341838,159127
235114,290765
244447,143680
186926,177178
51816,118520
341560,90832
226230,172511
255993,166996
15330,304494
261727,138512
245499,69901
6290,103356
124807,122552
284385,320727
209057,118830
277311,101962
15471,109659
234916,134527
222579,145156
296137,207743
227405,103248
249838,122394
40735,119342
1321,131625
254527,135580
167710,105163
292900,173929
102851,143221
315695,137098
345420,181242
52030,144555
354083,138202
145161,171267
123218,138387
159925,399064
318526,211605
22656,106211
176652,98941
39507,198110
262264,83830
288061,122689
355678,151823
310649,145173
143018,106942
226290,88203
203741,123219
72654,116982
299362,166061
160867,84419
336708,150066
291421,143694
293996,200200
353516,137581
127064,158646
262810,257287
153045,146884
136064,227619
302683,135856
250275,161784
72040,192822
146135,109686
183800,80636
287195,143293
133129,127740
146611,212734
279186,114278
84378,185549
90722,119218
115600,275204
198113,277606
25071,137603
74968,120147
167798,145155
156092,137705
97104,121098
162667,145738
291065,118657
90019,233826
67551,143543
82687,122028
323205,150117
285626,116737
261358,90372
21215,138932
195945,139763
89602,199102
20519,266277
312615,167539
149581,104628
39389,150943
135368,242789
143719,235665
292610,204449
34572,181386
53527,166768
342108,243527
206697,150150
238907,158680
253996,138912
46362,228512
48245,169796
146885,161935
21820,117263
52068,115299
285506,261360
308539,133874
39684,175714
347257,124120
93717,113403
16250,183079
185947,94733
334827,104429
186112,179688
89579,193091
141865,190397
334264,178033
206592,190578
341934,148056
33805,121265
206613,256950
231466,163075
312337,134921
21801,125845
35031,77454
283742,126973
123441,214960
57470,228478
52727,137293
4693,154860
215337,160454
156192,144148
238426,222841
73135,159372
25618,126366
155745,105713
213369,129185
318359,101918
77836,170487
219949,136383
331968,107278
210222,105577
154707,128694
246577,109595
125392,218100
9160,151682
333340,162952
282005,281996
1508,106952
308551,111234
